파자가, 82, 198
라바차, 95, 189
파나마, 56, 166
다가라, 59, 187
타자자, 69, 188
카아나, 65, 165
타다아, 55, 163
나차바, 42, 165
자나가, 86, 163
가마다, 45, 145
파파라, 42, 145
사다타, 92, 170
차사사, 63, 181
라다사, 40, 175
자아아, 55, 147
바사타, 96, 166
하파아, 59, 147
타사파, 40, 192
가나다, 97, 160
파자차, 44, 147
자바타, 48, 145
하카가, 61, 145
라하나, 48, 162
다가아, 67, 151
나아차, 86, 142
사파사, 94, 170
마자나, 57, 182
차사타, 92, 185
자타라, 56, 153
파가다, 96, 150
바바사, 46, 141
나파마, 84, 185
다파타, 64, 190
타카라, 51, 145
라가나, 67, 146
카나자, 40, 171
자카차, 65, 146
바카사, 62, 193
차가나, 92, 167
자나아, 79, 189
라카타, 48, 165
카가바, 65, 169
타사카, 95, 147
라나바, 90, 196
라파카, 60, 178
차하하, 94, 147
아차카, 43, 195
자하타, 64, 161
아나라, 89, 199
라차마, 46, 196
나타다, 59, 144
가다라, 55, 168
가바가, 90, 147
차파하, 46, 175
사차마, 95, 170
아차라, 70, 143
가하자, 58, 176
파가하, 89, 155
파타마, 80, 167
라바라, 76, 171
하마자, 55, 176
가가가, 58, 193
차하라, 54, 179
아타가, 86, 170
다파나, 46, 143
가사다, 48, 191
바라바, 60, 195
사바타, 60, 160
마라마, 66, 169
타하마, 56, 195
마카바, 77, 190
자다가, 45, 179
하다바, 47, 156
바라가, 56, 167
나파바, 83, 158
바자바, 84, 180
파가하, 40, 162
마나타, 64, 151
가나사, 66, 174
바자하, 52, 140
파파자, 70, 195
차바타, 59, 164
바마다, 92, 178
파파차, 65, 150
하마나, 57, 194
가아바, 67, 145
나가라, 98, 165
하나라, 49, 162
하라파, 49, 168
자차타, 70, 187
아타타, 50, 184
하하차, 78, 192
가파자, 51, 187
다차라, 49, 198
하차나, 77, 177
자하자, 51, 154
라나사, 65, 167
라바차, 63, 158
파라바, 59, 192
라바가, 54, 155
나카하, 79, 141
자나카, 75, 192
사차사, 46, 146
라사하, 90, 174
파사타, 51, 151
바파아, 63, 156
라라바, 73, 165
파파하, 64, 140
마다사, 41, 179
아차차, 75, 154
가나아, 64, 140
하다마, 84, 191
라바라, 69, 142
라카마, 66, 180
바가마, 52, 143
마카라, 82, 154
하다카, 60, 175
라카차, 94, 182
아라바, 41, 151
하나가, 80, 157
카마파, 61, 198
자하바, 97, 185
나라마, 75, 184
다차차, 47, 174
하마다, 44, 197
바타자, 72, 154
하사차, 78, 153
자타파, 42, 178
타라사, 88, 150
사마타, 82, 148
하하바, 54, 150
하라마, 94, 157
카카사, 52, 142
자나자, 48, 164
자카사, 52, 194
나자사, 74, 157
카마라, 78, 147
자타타, 77, 177
아자가, 84, 188
타마나, 81, 174
파아다, 88, 170
나사사, 51, 168
라파사, 49, 149
차차마, 51, 166
바아자, 82, 160
다타아, 54, 189
가자나, 71, 160
파카자, 95, 189
바가자, 94, 190
가바사, 40, 188
파다아, 66, 162
마라차, 69, 190
차라하, 64, 172
나타차, 98, 157
카나라, 92, 176
다마가, 40, 189
카하타, 70, 172
차타하, 40, 165
하가가, 51, 146
나카자, 58, 164
카하하, 71, 155
마타하, 78, 144
라아타, 78, 189
타바라, 76, 197
다자타, 93, 141
타라사, 76, 154
타다바, 63, 140
자타파, 93, 158
자아마, 89, 159
자하라, 60, 154
마사카, 53, 157
카다가, 62, 155
자파파, 79, 161
가카카, 64, 177
마마파, 44, 176
가바사, 56, 183
라자차, 70, 148
바마나, 58, 153
다바라, 51, 159
사차아, 43, 155
타자타, 48, 165
아마가, 90, 174
바바마, 91, 140
파사카, 54, 148
하하가, 40, 196
아차차, 66, 169
타자자, 45, 158
아바다, 80, 191
라다파, 60, 149
라나사, 89, 151
바파아, 72, 144
파타타, 76, 182
라사가, 49, 152
가마가, 72, 155
아차카, 48, 196
파차하, 60, 181
사하라, 62, 185
하마하, 64, 180
마마하, 96, 176
자사카, 60, 192
파다가, 70, 145
마나카, 66, 148
사사가, 89, 140
마마다, 95, 172
라파가, 43, 176
가파마, 46, 181
파라타, 78, 166
나나자, 92, 164
사자타, 58, 167
차마사, 68, 144
차마차, 93, 183
자사카, 49, 192
바나사, 96, 194
바하사, 59, 157
나타나, 46, 162
파파바, 69, 179
아차사, 40, 161
자아카, 44, 177
나카다, 43, 147
가아바, 63, 199
마차하, 43, 191
파타타, 50, 145
카가가, 51, 182
마하라, 85, 159
사타사, 57, 167
사마나, 67, 180
가아아, 62, 156
마파자, 82, 191
가바하, 49, 182
카마자, 96, 188
나하타, 59, 148
사사하, 81, 170
파마하, 44, 160
바자바, 70, 170
